epoch,loss,accuracy
1,0.5515772134446895,0.8513292910447762
2,0.2798815395778367,0.9190598347547975
3,0.22661798270637673,0.93371868336887
4,0.19184878895055257,0.945329157782516
5,0.16706434793786198,0.951342617270789
6,0.14678286800760704,0.9578391524520256
7,0.13185983663126985,0.9619536247334755
8,0.11934736223696772,0.9653018390191898
9,0.1090750334822118,0.9684335021321961
10,0.10158597000205377,0.970665644989339
11,0.09286810255257973,0.972681236673774
12,0.08822826275935591,0.9739139125799574
13,0.08218884849444286,0.9756962953091685
14,0.07702489024095698,0.9770289179104478
15,0.07155288189703198,0.9789945362473348
16,0.0685728803383254,0.9797607942430704
17,0.06566130684446424,0.9799273720682303
18,0.06222301058266173,0.9809101812366737
19,0.05843228440948212,0.9825759594882729
20,0.05555540707130144,0.9826259328358209
21,0.053601306105064334,0.9836753731343284
22,0.04976242955780026,0.9850079957356077
23,0.0492771526655631,0.9848747334754797
24,0.04878937207094864,0.9848913912579957
25,0.04546717116048238,0.9860241204690832
26,0.04347891074670816,0.9864072494669509
27,0.0424558851405728,0.9870735607675906
28,0.04071334870504851,0.9878065031982942
29,0.03966908690495802,0.9880397121535182
30,0.038471110906056774,0.9879730810234542
31,0.03756989970448802,0.9879897388059702
32,0.03497668867831482,0.9891058102345416
33,0.03520016600727848,0.9889725479744137
34,0.033515080795196425,0.9901552505330491
35,0.03262825719719288,0.9899886727078892
36,0.03078924559765676,0.990305170575693
37,0.03082737083366113,0.9906716417910447
38,0.028598621293757436,0.9911713752665245
39,0.028538306060406977,0.9916544509594882
40,0.028496012811227316,0.9907715884861408
41,0.026597484023864273,0.9918043710021321
42,0.025201832752926513,0.9926039445628998
43,0.02548114006348731,0.992304104477612
44,0.02461551717535378,0.9923873933901919
45,0.024524733977407707,0.992137526652452
46,0.023682779503434198,0.9925872867803838
47,0.023160119777419236,0.9925539712153518
48,0.022715214799942155,0.9923707356076759
49,0.02245886014329631,0.9929204424307037
50,0.021267299667181477,0.9936533848614072
