epoch,loss,accuracy
1,0.5149093303521474,0.8610666666666666
2,0.2777654826382796,0.9183333333333333
3,0.2230303420285384,0.9346166666666667
4,0.18556027375956377,0.9455833333333333
5,0.1585359058295687,0.9528666666666666
6,0.1399914725959301,0.95885
7,0.12404077360058824,0.9632
8,0.11083527533908685,0.9673
9,0.1025088578303655,0.9688166666666667
10,0.09419850315786898,0.9712833333333334
11,0.08741404104456306,0.9741666666666666
12,0.08099279037788511,0.9752166666666666
13,0.07655326103990277,0.9765333333333334
14,0.0713459310401231,0.9786
15,0.06700498784662534,0.9796166666666667
16,0.06491483223947386,0.9803166666666666
17,0.0609104296002537,0.98175
18,0.05721703163348138,0.98225
19,0.05520371273756027,0.9830333333333333
20,0.05329490130729973,0.9835666666666667
21,0.05144232320971787,0.98385
22,0.04939847911971932,0.9847
23,0.04735903187617659,0.9852666666666666
24,0.04471884817996373,0.9860833333333333
25,0.042754914141260085,0.9863166666666666
26,0.04169017178214465,0.9870166666666667
27,0.03972454032901054,0.9878833333333333
28,0.03874027176772555,0.9877166666666667
29,0.037644296138562884,0.9883
30,0.037629585335667556,0.9883
31,0.034778965059760955,0.9891166666666666
32,0.033994051382985585,0.98945
33,0.033104838964389635,0.98945
34,0.03193150342392425,0.9902666666666666
35,0.031185756505886092,0.9902833333333333
36,0.03091964880283146,0.99025
37,0.028870430686806017,0.99075
38,0.029457795457262546,0.9907
39,0.027776063139247707,0.9909166666666667
40,0.02659842181893376,0.9915
41,0.026493130719312467,0.9914666666666667
42,0.026159569545664514,0.9916
43,0.025941037839883937,0.9916
44,0.023304355099323826,0.99275
45,0.024942969764066705,0.99205
46,0.022773389618308285,0.9927833333333334
47,0.021551178179642496,0.9933333333333333
48,0.02253305170368015,0.9927333333333334
49,0.022303272371259907,0.9931666666666666
50,0.020645632645635244,0.9932
