epoch,loss,accuracy
1,0.5284825680494308,0.8585833333333334
2,0.2825680716474851,0.91745
3,0.23192512903412182,0.9327666666666666
4,0.19329469314863285,0.9429833333333333
5,0.16800278687626125,0.9508666666666666
6,0.14636379881401856,0.95705
7,0.1315348204905788,0.9622333333333334
8,0.11912055014396707,0.9650166666666666
9,0.10897031540125608,0.9671333333333333
10,0.10090676179416477,0.9704333333333334
11,0.09412813838161528,0.9721166666666666
12,0.08788759239738186,0.9736833333333333
13,0.081854440192009,0.9757666666666667
14,0.0770148061880221,0.9765333333333334
15,0.0723405745965739,0.9786166666666667
16,0.06934721621951709,0.97935
17,0.06616327853476008,0.98075
18,0.06284113884971787,0.9808333333333333
19,0.0608598349088182,0.9816166666666667
20,0.057285986162225404,0.9823666666666667
21,0.053720582756524284,0.9836833333333334
22,0.05199118515240649,0.9841333333333333
23,0.05181671064868569,0.9844333333333334
24,0.04933034319439903,0.9846
25,0.047154765275307,0.9856333333333334
26,0.04486576200552905,0.9855833333333334
27,0.043061054910641786,0.9861
28,0.04404923438235807,0.9868
29,0.041227985552124057,0.9867
30,0.03880064299736793,0.9878166666666667
31,0.03855950796087272,0.98795
32,0.03703647927522349,0.9880333333333333
33,0.03541963726466832,0.9887333333333334
34,0.0343390914790798,0.9893333333333333
35,0.033950682882079856,0.9894
36,0.03340987518665691,0.9895166666666667
37,0.0328774546697891,0.9896
38,0.031128151247045027,0.9899166666666667
39,0.030620079276167476,0.99035
40,0.02960980952544293,0.9899666666666667
41,0.029790708915966874,0.9907666666666667
42,0.02795016509333315,0.9911333333333333
43,0.027255078767732872,0.9912
44,0.027451399134836782,0.9914833333333334
45,0.02532616915209995,0.9921166666666666
46,0.025786978183717776,0.99225
47,0.025366445035572786,0.9919166666666667
48,0.025755476434493902,0.9918333333333333
49,0.023942425065809705,0.9924166666666666
50,0.022909002479720705,0.99255
