epoch,loss,accuracy
1,0.48199019987763625,0.8708022388059702
2,0.23540455723669865,0.9325692963752665
3,0.17850113151741942,0.9483941897654584
4,0.1440458154397161,0.9596881663113006
5,0.12157413741744467,0.9652352078891258
6,0.10422719661781846,0.9695162579957356
7,0.09241935934450453,0.9735307835820896
8,0.08180762168818287,0.9766457889125799
9,0.07206353711000066,0.9794776119402985
10,0.06557020370060129,0.9810934168443497
11,0.0588549229888313,0.9826925639658849
12,0.05351649297139188,0.9845582356076759
13,0.04887212407606433,0.9859075159914712
14,0.045622737318186016,0.9867404051172708
15,0.040909990152246806,0.9880730277185501
16,0.037677206147684536,0.9895555703624733
17,0.03432483405400036,0.9904717484008528
18,0.03229357151543972,0.9909048507462687
19,0.02964136310453926,0.9915878198294243
20,0.027823066836578456,0.9922707889125799
21,0.025961584074105988,0.9930870202558635
22,0.023926162251843703,0.9934035181236673
23,0.022399306090038294,0.9937699893390192
24,0.02078521689948644,0.9942197494669509
25,0.019217922099814343,0.9950026652452025
26,0.018973131103243536,0.9946528518123667
27,0.016959431655975535,0.9955023987206824
28,0.016709647507801195,0.9951859008528785
29,0.015056408881055893,0.996085421108742
30,0.014039512754587738,0.9964185767590619
31,0.013089393834559385,0.9963686034115139
32,0.012654626789663646,0.9966018123667377
33,0.012220393754229116,0.9969516257995735
34,0.01104664627673861,0.9972514658848614
35,0.011056417633978171,0.9972014925373134
36,0.011039713818541685,0.9970182569296375
37,0.009974433543704905,0.9975346481876333
38,0.00950530172846437,0.9976012793176973
39,0.00884432654085127,0.9979677505330491
40,0.00883876034451439,0.9977345415778252
41,0.00845311992519189,0.997934434968017
42,0.008324867486274232,0.9979011194029851
43,0.007477469052517177,0.9981843017057569
44,0.006764128113720022,0.9985507729211087
45,0.00662393143228285,0.9984841417910447
46,0.0069440503707550874,0.9984008528784648
47,0.006372262967977179,0.9984175106609808
48,0.006240952551196854,0.9985507729211087
49,0.005779679372424145,0.9986007462686567
50,0.00562123396417104,0.9988339552238806
