epoch,loss,accuracy
1,0.7103713243119498,0.8193463486140725
2,0.34076818326579483,0.9016857675906184
3,0.29464955922605385,0.9146455223880597
4,0.2622460423470306,0.9242404051172708
5,0.23863444309324217,0.9307702558635395
6,0.21844992677826108,0.9362340085287847
7,0.20142807461210152,0.941481210021322
8,0.18622191513636346,0.9459454957356077
9,0.17205797602484094,0.94926039445629
10,0.1635415448364355,0.9521255330490405
11,0.15393514043963286,0.9555736940298507
12,0.14585723816705093,0.957006263326226
13,0.13986310803655114,0.958871934968017
14,0.13178156908633296,0.9614205756929638
15,0.12611468009122495,0.9631196695095949
16,0.12065485708399622,0.96471881663113
17,0.11811677668926748,0.9655350479744137
18,0.1127031735901131,0.9662846481876333
19,0.10867182977362545,0.9672174840085288
20,0.10532923067596231,0.9685834221748401
21,0.1009266967001532,0.9703491471215352
22,0.0995397001062073,0.9699660181236673
23,0.09555511114828939,0.9717983742004265
24,0.0926043746579907,0.9717317430703625
25,0.08971499978427662,0.9736307302771855
26,0.087619933394044,0.9730643656716418
27,0.08624347889853487,0.9738639392324094
28,0.08335139087216654,0.974563566098081
29,0.08189396102672447,0.9751132729211087
30,0.08188478425611803,0.9751132729211087
31,0.08028994904640419,0.9759794776119403
32,0.07728287193284773,0.9759628198294243
33,0.07605995337165065,0.9761960287846482
34,0.07426275513561836,0.9774120469083155
35,0.07614632603972515,0.9766957622601279
36,0.07194813950928544,0.9774786780383795
37,0.07177030206568587,0.9774120469083155
38,0.06868681710993828,0.9793110341151386
39,0.06835350866711486,0.978628065031983
40,0.06669122860459153,0.9797274786780383
41,0.06501168307504737,0.9802771855010661
42,0.06431056527661155,0.9797774520255863
43,0.06393278680884762,0.9799773454157783
44,0.06468516501085733,0.9793110341151386
45,0.06074816529263756,0.9806603144989339
46,0.05980003612718658,0.9807436034115139
47,0.06132494271653436,0.9800939498933902
48,0.058891544740811895,0.9815931503198294
49,0.05693970725331495,0.9821595149253731
50,0.05840844530979596,0.9815265191897654
