epoch,loss,accuracy
1,1.594548961882398,0.5823893923240938
2,0.6448705231012312,0.8283248933901919
3,0.4654116629759894,0.8695862206823027
4,0.40081338338188527,0.8851112739872068
5,0.36857348740863394,0.8937400053304904
6,0.3469230178227303,0.8999367004264393
7,0.32910478808510024,0.904317697228145
8,0.3160599609459641,0.9078991204690832
9,0.30634201563465824,0.9112639925373134
10,0.2957002656228507,0.9137460021321961
11,0.2870800825737433,0.9169776119402985
12,0.27806186460768745,0.9189099147121536
13,0.27058353478402725,0.9214418976545842
14,0.2639995549501641,0.923807302771855
15,0.2578172726290567,0.9258728678038379
16,0.25073501393834413,0.927721881663113
17,0.2448518469111561,0.9299040511727079
18,0.2392726975685752,0.9319862739872068
19,0.2330422832894681,0.9326859008528785
20,0.2277307517643867,0.9344682835820896
21,0.22367512575710125,0.9363339552238806
22,0.21799808746970284,0.9380163912579957
23,0.2130913282873661,0.9384161780383795
24,0.20875586096300627,0.9398154317697228
25,0.20498656587147002,0.941231343283582
26,0.19942766910534043,0.9423307569296375
27,0.19620206533893467,0.9435967484008528
28,0.1928020547201702,0.9444796108742004
29,0.18897259567401556,0.9456123400852878
30,0.1857296167406192,0.9476279317697228
31,0.1824550753963718,0.9479944029850746
32,0.1792720462173732,0.94909381663113
33,0.17664374548123715,0.9496435234541578
34,0.1719288146381439,0.9509261727078892
35,0.16975480711250418,0.9514425639658849
36,0.16718921905903739,0.9520422441364605
37,0.16449865438083786,0.9533082356076759
38,0.16153005314176716,0.9536413912579957
39,0.16026733174467328,0.9536247334754797
40,0.15608501099129476,0.9555903518123667
41,0.15412262284449105,0.9559401652452025
42,0.15121307395009406,0.956856343283582
43,0.15012841463597346,0.9572561300639659
44,0.14805811796305593,0.9582389392324094
45,0.14590427796962038,0.9581889658848614
46,0.14369651701436367,0.9591384594882729
47,0.14156392522489847,0.9600046641791045
48,0.14035730118722295,0.9600546375266524
49,0.13760049341480807,0.961004131130064
50,0.1355191148333013,0.9614205756929638
