epoch,loss,accuracy
1,0.3567186879972617,0.8965833333333333
2,0.17315968309640883,0.9484333333333334
3,0.1304038900303344,0.9613
4,0.10641324090932806,0.96805
5,0.09195287110793093,0.9730666666666666
6,0.07896557365407546,0.9754666666666667
7,0.06995538966146608,0.9781666666666666
8,0.06335250717829913,0.98075
9,0.057028304995782673,0.9819833333333333
10,0.05281874086484313,0.984
11,0.048678742332973826,0.9844333333333334
12,0.04385557389846072,0.98655
13,0.04284980929546679,0.9863166666666666
14,0.03716398611504895,0.9883
15,0.03656184360083813,0.9879333333333333
16,0.03443565914162124,0.9886166666666667
17,0.03464366747734603,0.9886
18,0.030279861836934773,0.9901166666666666
19,0.03045458914275126,0.98995
20,0.028706668670048625,0.9900666666666667
21,0.025910883337061385,0.99155
22,0.026430117875252228,0.9908666666666667
23,0.0248839263405224,0.99175
24,0.022895081477297935,0.9926
25,0.02175211373034205,0.9928833333333333
26,0.023940508231282,0.992
27,0.021442773378339674,0.9932
28,0.02135562898282466,0.9926
29,0.02134109000163929,0.99275
30,0.01942072605009501,0.9931166666666666
31,0.01914574580854872,0.99325
32,0.018723411812227763,0.9935166666666667
33,0.018833005210589424,0.99345
34,0.017322403374810044,0.99395
35,0.017359344584991533,0.9941
36,0.016868737313153786,0.9941
37,0.016633263751690296,0.9943333333333333
38,0.018586860695784708,0.9934833333333334
39,0.015161603693057017,0.9947833333333334
40,0.014563961855756254,0.9949166666666667
41,0.016205101329588797,0.9944833333333334
42,0.014435370499692604,0.9948333333333333
43,0.014551363557205817,0.995
44,0.014101576549611734,0.9947833333333334
45,0.015014607683369954,0.9951333333333333
46,0.01574427233658692,0.9947333333333334
47,0.012956635889688187,0.9955666666666667
48,0.014250596587574304,0.99505
49,0.014201100820230446,0.9949333333333333
50,0.012283799696031444,0.9954166666666666
