epoch,loss,accuracy
1,0.4442231964826584,0.8759166666666667
2,0.2363443274512887,0.9311333333333334
3,0.17898365976487596,0.9468
4,0.1445336697133258,0.9576
5,0.12205936893851807,0.9636833333333333
6,0.10524924156020085,0.9690333333333333
7,0.09231226357752458,0.9722333333333333
8,0.08387165531050414,0.9757166666666667
9,0.0762161782236925,0.9762666666666666
10,0.07100894448563146,0.9783
11,0.06682244204091839,0.9790833333333333
12,0.06096643398800709,0.9815333333333334
13,0.05650737986021365,0.9826833333333334
14,0.05286252448138936,0.9837
15,0.049807287355101044,0.9846333333333334
16,0.04788907589251951,0.9846333333333334
17,0.045621615619652826,0.9859333333333333
18,0.04276382164459986,0.9864833333333334
19,0.041088121824464176,0.9873833333333333
20,0.039582824872357016,0.9870833333333333
21,0.03661215536081872,0.9883166666666666
22,0.03481880480206164,0.9892
23,0.03360864785012382,0.9891833333333333
24,0.032011578936003204,0.9897333333333334
25,0.03174673954421839,0.9901
26,0.02939218336501314,0.9907
27,0.029285994017099196,0.9908833333333333
28,0.02811244750858056,0.9910666666666667
29,0.02632613456151351,0.9911833333333333
30,0.025715438412771376,0.9915166666666667
31,0.025618025703837338,0.9917833333333334
32,0.024646164329227758,0.9919
33,0.022114630742452814,0.99295
34,0.022082453331108264,0.993
35,0.02315527404705038,0.9924833333333334
36,0.020702301359437358,0.9932333333333333
37,0.02122458432347418,0.993
38,0.021004477881956092,0.9929833333333333
39,0.01927019237414273,0.9935
40,0.018368602701021457,0.9940166666666667
41,0.0174113587326027,0.9943666666666666
42,0.017419004793745627,0.9940833333333333
43,0.01732569551866415,0.9946333333333334
44,0.016600089826532532,0.99455
45,0.016037223974030138,0.9948
46,0.015344932360299662,0.9945
47,0.015217044297576088,0.9949166666666667
48,0.014766937522378195,0.9952833333333333
49,0.015853693377470366,0.9945333333333334
50,0.013928022041272978,0.9954
