epoch,loss,accuracy
1,0.9584428559043514,0.7290778251599147
2,0.7934565601636098,0.7747201492537313
3,0.5611333448940249,0.786930303837953
4,0.5387200888381329,0.7904617537313433
5,0.5269144312945256,0.7921608475479744
6,0.5193013308017747,0.7932102878464818
7,0.5121498024031552,0.794909381663113
8,0.5053603566372826,0.7960920842217484
9,0.5042578266627753,0.7963086353944563
10,0.4986264975403926,0.7978078358208955
11,0.4952125334536343,0.798823960554371
12,0.49261061696291986,0.7985241204690832
13,0.49240371900231344,0.7986407249466951
14,0.4899851311085575,0.7992404051172708
15,0.48582275241994655,0.8003398187633263
16,0.4836786680860814,0.800806236673774
17,0.48549950532694613,0.8001732409381663
18,0.4832146383170634,0.800722947761194
19,0.4808164555380848,0.800789578891258
20,0.48155185118762417,0.800839552238806
21,0.47971795075165946,0.8010394456289979
22,0.4801803271907733,0.8011560501066098
23,0.4779234305977313,0.8011727078891258
24,0.47629964300818534,0.8024220415778252
25,0.4771679407720373,0.8017557302771855
26,0.4776200906935531,0.8018889925373134
27,0.47727295999397346,0.8016224680170576
28,0.4724750524041241,0.8024886727078892
29,0.4758127098049182,0.8016391257995735
30,0.4719661957721339,0.8029717484008528
31,0.47287453645105554,0.8030550373134329
32,0.4725966187301221,0.8030050639658849
33,0.47223037489251035,0.8030050639658849
34,0.46973877227001354,0.8034381663113006
35,0.47165735026221794,0.802755197228145
36,0.46953930801102345,0.8034381663113006
37,0.47226398031531114,0.8031549840085288
38,0.4689130334060456,0.8034548240938166
39,0.4691972782505728,0.8034881396588486
40,0.4701413562827146,0.8031383262260128
