epoch,loss,accuracy
1,1.4850675320701558,0.6337453358208955
2,0.6035492000803511,0.8403684701492538
3,0.44889488916343717,0.8757829157782516
4,0.3919709125307323,0.8882429371002132
5,0.362960340141424,0.8950059968017058
6,0.34232543502598684,0.9008029051172708
7,0.3268643375525851,0.9054337686567164
8,0.3143190906992726,0.9088652718550106
9,0.302636446006326,0.9120802238805971
10,0.2940537515384302,0.9148787313432836
11,0.28376429021231403,0.9181769722814499
12,0.27499351728318344,0.9210587686567164
13,0.267907483673998,0.921924973347548
14,0.26140333844749913,0.9241071428571429
15,0.25306090452809576,0.9264558901918977
16,0.24838245569515838,0.9286713752665245
17,0.24086881197019935,0.931469882729211
18,0.23498007499857115,0.9325859541577826
19,0.22893030808440276,0.9346848347547975
20,0.22411759616707816,0.9357842484008528
21,0.21947471691823717,0.9371002132196162
22,0.21385798236327386,0.9389992004264393
23,0.21044543471290614,0.9391657782515992
24,0.2058265340298033,0.9405317164179104
25,0.2017305047034836,0.9419976012793176
26,0.19657337764845983,0.9436300639658849
27,0.19227307080539432,0.9437799840085288
28,0.18888758861426033,0.9464452292110874
29,0.18464304749041732,0.9475613006396588
30,0.18148057752533125,0.947444696162047
31,0.1787488630442604,0.9480277185501066
32,0.17472801980441377,0.9495435767590619
33,0.17179338556172244,0.9510094616204691
34,0.16797843946219443,0.9514758795309168
35,0.1659313489728645,0.9522254797441365
36,0.162747795119691,0.9535581023454158
37,0.1599234602829096,0.9534581556503199
38,0.1582894359629895,0.9544409648187633
39,0.15478293710489516,0.9556902985074627
40,0.15261096540274524,0.9565731609808102
41,0.15126427374621318,0.9565398454157783
42,0.14733696969619184,0.9575726279317697
43,0.1466477319463166,0.9579224413646056
44,0.14403816577650783,0.9582389392324094
45,0.14173720102272688,0.9595382462686567
46,0.14057807022654045,0.9596881663113006
47,0.13735123291444867,0.9603045042643923
48,0.13586716653147676,0.9613872601279317
49,0.13376499735502037,0.9618703358208955
50,0.13216199401988468,0.9612706556503199
