epoch,loss,accuracy
1,0.8401472602825938,0.7919776119402985
2,0.3696234727592102,0.8962719882729211
3,0.31615122912058446,0.9085987473347548
4,0.2874519967877153,0.9168943230277186
5,0.2627577115096517,0.9246401918976546
6,0.2451554596590907,0.9292877132196162
7,0.22765168472965644,0.9346515191897654
8,0.21311260748710206,0.9390491737739872
9,0.19992009374791625,0.9421475213219617
10,0.18691500727095203,0.9465285181236673
11,0.17633434313573818,0.9487106876332623
12,0.16699409470565793,0.9520089285714286
13,0.15819775403292577,0.9545075959488273
14,0.1503499587481496,0.9562566631130064
15,0.14449075925976101,0.9583722014925373
16,0.13649148350633156,0.9607709221748401
17,0.13239700740167518,0.9612373400852878
18,0.1253363156020006,0.9632529317697228
19,0.12029272396323969,0.9645189232409381
20,0.1149442443397762,0.9665011993603412
21,0.1116228869248396,0.9679337686567164
22,0.10838443909916701,0.9686500533049041
23,0.1024607668753896,0.9700659648187633
24,0.1001325169993219,0.9706156716417911
25,0.0974576422777861,0.9715151918976546
26,0.09498609971604559,0.9728977878464818
27,0.09174151483502214,0.9737140191897654
28,0.08835211291865532,0.9742803837953091
29,0.0874205868748793,0.9743303571428571
30,0.08406771621557632,0.9752965085287847
31,0.08235313361490777,0.9760960820895522
32,0.07926176254476693,0.9763459488272921
33,0.07805392055013684,0.9767124200426439
34,0.07517240752082771,0.9778284914712153
35,0.0736748370280398,0.9783282249466951
36,0.07159338252686424,0.9793776652452025
37,0.06949568902408439,0.9799107142857143
38,0.06777838458503678,0.9799440298507462
39,0.06682796647319439,0.9799273720682303
40,0.06587973049730618,0.9802105543710021
41,0.06426491393054377,0.9809434968017058
42,0.06229307320115885,0.9813932569296375
43,0.06108926239806706,0.9820262526652452
44,0.059802280041450724,0.9820262526652452
45,0.05836296748064125,0.9827092217484008
46,0.057687685451110894,0.9830257196162047
47,0.056571451663128984,0.9831256663113006
48,0.054461943836553076,0.9837086886993603
49,0.05434365666159657,0.9836420575692963
50,0.05293291336151837,0.9841751066098081
51,0.05294398962110996,0.9843416844349681
52,0.05146896639225214,0.9842750533049041
53,0.05019470829509699,0.9848913912579957
54,0.04897280131081449,0.9858075692963753
55,0.048319335303593,0.9853578091684435
56,0.04798107440950774,0.9860074626865671
57,0.04793798894773343,0.9857076226012793
58,0.045243022096122916,0.9858908582089553
59,0.045161008869837926,0.9867237473347548
60,0.04587781754707588,0.986390591684435
61,0.04298320985528261,0.9872068230277186
62,0.04279405946733116,0.9866904317697228
63,0.043041712810237734,0.9874733475479744
64,0.041656263511198985,0.9871735074626866
65,0.04219836571133698,0.9875732942430704
66,0.040202229155171944,0.988222947761194
67,0.040205134944404475,0.9877065565031983
68,0.039772512911231135,0.9884394989339019
69,0.03790599859626428,0.9892224147121536
70,0.038470067455917835,0.988306236673774
